DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
02/2011;132,8148256;145,3706074;121,6031106;251,1142704;124,9529431;11,27121212;5,109090909;5,786060606;3,403636364;5,359480519;6,139772727;2,495340909;2,362727273;1,448909091;2,135909091;3,86875;1,956666667;3,091636364;7,372;4,228409091;4,487272727;24,40363636;3,068181818;7,269943182;3,38;2,961818182;2,480909091;13,66;6,624;4,7275;4,142222222;4,5775;3,778051948;27,31974026;8,242840909;7,766818182;5,619772727;2,007982955;12,68688312;4,964935065;2,69961039;1,423246753;2,682954545;0,245284091;4,39;4,841818182;4,734545455;16,66590909;5,08;2,540909091;1,463636364;11,20227273;6,252727273;3,561363636;2,49030303;3,633181818;1,562727273;6,288246753;5,369818182;12,45454545;16,10490909;12,51584416;7,965;3,599636364;8,070909091;3,390727273;3,59;2,136363636;2,434415584;1,850454545;4,71025974;4,866363636;5,325454545;5,705227273;8,842207792;4,827272727;4,355777194
03/2011;136,9738111;149,3031449;121,444357;250,3248615;124,560138;11,66207792;5,220363636;6,325454545;4,717792208;4,061818182;6,055454545;2,32;2,412727273;1,519090909;2,082727273;3,681818182;1,74;3,067272727;7,681818182;4,316363636;4,798181818;25,87636364;3,076818182;7,167897727;3,38;3,069090909;2,630808081;14,19340909;6,18;4,85875;4,293333333;4,475227273;3,758181818;27,64227273;9,054545455;9,184545455;6,447597403;1,948409091;13,54909091;5,789090909;2,681428571;1,336753247;3,055454545;0,391590909;4,334545455;4,950909091;4,906363636;16,47727273;7,136363636;2,399480519;1,515909091;11,22974026;6,443636364;3,52030303;2,645151515;3,686363636;1,63974026;6,329707792;5,659090909;12,24233766;15,64181818;12,63909091;8,423333333;3,732727273;8,143636364;4,311590909;3,59;2,309090909;2,69;2,088636364;4,716103896;5,061090909;5,670795455;5,751363636;10,59272727;5,522727273;4,446522552
04/2011;138,4242568;150,713005;121,9233034;255,6524345;127,2111061;11,22666667;5,495;4,78;7,97;4,51;5,337142857;2,538333333;2,396666667;1,602857143;2,306;3,75;1,865;3,233333333;7,545714286;4,328;4,871428571;27,88;3,131428571;7,100833333;3,38;2,9475;2,673333333;13,224;6,33;4,99;4,69;4,854285714;4,03;26,23;8,9675;8,741666667;6,89625;1,97125;11,826;5,081666667;2,723333333;1,326;3,332142857;0,4485;4,524;5,54;5,41;17,4375;6,48;2,49;1,622;11,57;6,54;3,53;2,8;3,91;1,668;6,371168831;6,2625;12,256;14,6575;12,95;8,64;3,688571429;8,216363636;3,7275;3,59;2,292;2,861428571;1,77;4,9;5,4575;5,73;5,765;12,03;5,25;4,53726791
05/2011;135,9089748;146,6659464;128,5628627;248,9670758;123,884512;11,40166667;5,349090909;4,252727273;4,981363636;4,752727273;6,798181818;2,538636364;2,484545455;1,541428571;2,058181818;3,8875;1,59;3,160909091;7,373246753;4,129545455;4,831818182;27,88;3,069772727;7,593295455;3,7;2,84;2,531038961;14,51454545;6,06;4,79;4,69;5,142077922;4,093896104;23,77272727;8,714242424;8,215454545;5,638636364;2,213693182;11,15909091;5,161818182;2,635584416;1,357272727;3,096753247;0,423474026;4,604242424;5,33;5,49;15,50974026;6,846666667;2,469090909;1,740909091;11,76545455;6,489090909;3,58;2,770909091;3,980909091;1,773333333;6,41262987;6,298181818;14,09428571;15,88318182;13,05090909;7,920681818;3,760606061;8,289090909;3,711818182;3,59;2,261818182;2,879772727;1,877012987;4,99;5,111818182;5,87;5,707272727;8,424545455;5,290909091;4,628013268
06/2011;135,7272187;147,8992145;123,9164966;242,3658723;120,5997931;10,37727273;5,234545455;4,58;5,421818182;4,190649351;4,484545455;2,441818182;2,350727273;1,581818182;1,995454545;4,2;1,99;3,307272727;7,570545455;4,127012987;4,719636364;27,54545455;2,999090909;7,876623377;3,815;2,980909091;2,407272727;14,25272727;5,79;4,79;4,661818182;5,083896104;4,009090909;25,15194805;8,292272727;8,584545455;6,111212121;1,986590909;11,83285714;5,291818182;2,847402597;1,456363636;3,424545455;0,464545455;4,34;5,552727273;5,835454545;15,99025974;8,1;2,614545455;1,683333333;11,85545455;6,470909091;3,539545455;2,87;3,971818182;2,002727273;6,454090909;6,310909091;12,54981818;14,65590909;12,76;7,201363636;3,734545455;8,361818182;4,591212121;3,99;2,402727273;2,392727273;1,724090909;5,143896104;4,844285714;5,875454545;5,547792208;8,235818182;4,955454545;4,718758627
07/2011;134,8623117;146,619745;124,2725493;249,7566152;124,277382;10,28236364;5,087272727;3,98;3,529090909;4,038181818;5,435454545;2,253636364;2,362909091;1,654545455;1,972272727;4,064545455;1,89;3,266363636;7,870909091;4,424545455;4,732727273;27,48;3,083636364;8,345909091;3,93;2,999090909;2,314545455;14,772;5,52;5,012222222;4,76989899;4,962424242;4,21969697;28,10787879;9,034545455;8,700363636;5,880227273;2,123181818;11,00318182;4,535;2,871454545;1,208181818;2,966409091;0,409204545;4,098181818;5,967272727;5,637272727;16,49545455;5,103636364;2,408363636;1,508181818;11,92090909;6,252727273;3,51;2,935454545;3,971818182;2,154545455;6,495551948;6,188181818;12,31527273;15,16272727;12,088;6,482045455;5,038181818;8,434545455;3,855454545;3,99;2,414545455;2,324545455;1,788484848;5,264545455;4,973454545;5,902272727;5,753636364;7,08;5,290909091;4,809503985
08/2011;136,8339853;149,2070091;126,0927944;251,493461;125,1416261;10,17155844;4,919545455;4,08;3,614318182;4,240909091;5,019090909;2,563181818;2,406363636;1,680909091;2,748181818;4,201298701;1,99;3,258636364;7,508;4,224090909;4,862727273;34,83272727;3,062121212;8,717922078;4,045;2,665;2,210681818;15,53;5,25;5,234444444;4,877979798;5,687727273;3,988484848;27,65636364;8,211558442;8,542727273;6,399147727;2,118701299;12,97246753;5,466818182;2,817272727;1,284545455;1,828409091;0,363465909;4,128409091;5,726363636;7,667922078;15,04545455;3,463030303;2,365454545;1,787272727;12,08363636;7,086493506;3,53025974;3,505454545;3,973333333;2,416363636;6,537012987;6,315454545;12,89818182;13,54590909;12,58441558;5,762727273;4,98;8,507272727;3,881818182;5,19;2,378961039;2,493896104;1,842727273;4,733116883;5,432545455;6,679431818;5,699090909;8,157272727;5,136477273;4,900249343
09/2011;134,7230196;145,572135;128,5871883;236,6341591;117,7477272;10,94431818;4,858181818;6,9;2,767402597;4,327727273;2,626753247;2,291168831;2,334090909;1,59;2,348181818;4,016233766;2,523333333;3,195454545;7,563272727;4,468727273;5,136363636;31,26272727;3,100909091;9,096298701;4,969090909;3,167272727;2,457272727;15,67246753;4,98;5,456666667;4,986060606;5,913246753;3,846818182;27,49545455;9,468863636;8,364848485;5,51025974;2,14961039;12,24974026;4,961818182;2,622272727;1,257272727;1,615340909;0,326688312;4,102909091;5,918863636;5,575909091;15,43181818;3,663636364;2,298961039;1,501818182;12,13363636;6,830909091;3,557272727;3,290454545;4,207272727;2,203636364;6,578474026;5,524772727;12,94909091;15,95090909;12,33272727;10,445;3,836818182;8,58;3,877272727;3,99;2,361818182;2,465974026;1,835454545;4,772840909;5,431590909;5,850568182;5,491022727;6,291818182;5,217272727;4,990994701
10/2011;138,6836345;148,2209202;132,6777222;249,0025628;123,9021701;11,65272727;5,168181818;4,225454545;3,107727273;4,512467532;3,954025974;2,64974026;2,372077922;1,576363636;2,689090909;4,210795455;2,14;3,197272727;7,396363636;4,533246753;5,193506494;27,26181818;3,182727273;9,093977273;7,070909091;3,29;2,552337662;16,19922078;5,38;4,79;4,734545455;6,078701299;4,326363636;29,09636364;9,785090909;9,097090909;6,183506494;2,105;13,70590909;5,776477273;2,580779221;1,358961039;1,391051136;0,371761364;4,079636364;5,841818182;6,078311688;15,05909091;3,68;2,353246753;1,32;12,12077922;7,325454545;3,514675325;3,015454545;4,223181818;1,880909091;6,619935065;5,588181818;13,65493506;17,44454545;12,78472727;9,799090909;4,058787879;9,016363636;4,015151515;5,43;2,308181818;2,513896104;1,795974026;4,701688312;4,968787879;5,985795455;5,608441558;10,39363636;4,963636364;5,081740059
11/2011;134,0415907;146,5734939;128,1098498;251,4337095;125,1118941;11,80428571;5,130545455;5,569090909;2,907662338;3,673246753;3,926363636;2,532857143;2,368863636;1,556931818;2,146969697;4,052272727;1,79;3,423030303;7,604415584;4,665909091;5,120454545;26,12;3,136363636;8,543806818;7,240606061;3,123333333;2,348441558;15,34597403;6,172727273;4,79;4,715454545;6,306363636;4,14;30,97818182;9,433506494;8,893030303;5,974545455;2,099772727;13,58376623;5,488545455;2,655;1,361948052;1,170357143;0,325227273;3,487532468;5,978181818;5,301272727;15,75;2,887272727;2,451590909;1,4375;12,39218182;7,307272727;3,669545455;2,900909091;4,232727273;1,666363636;6,661396104;5,324727273;13,42772727;15,47909091;12,54909091;7,89;4,038636364;9,452727273;3,825454545;3,769090909;2,526060606;2,548522727;1,786883117;4,710454545;5,039242424;6,373181818;5,683896104;8,779090909;5,271818182;5,172485418
12/2011;138,880313;150,8001642;126,550994;276,2493485;137,460006;12,01363636;5,143636364;6,48;3,108;5,023333333;7,933333333;2,454415584;2,328701299;1,629393939;2,034848485;4,157792208;1,79;3,2625;7,565454545;4,68961039;5,276103896;27,18;3,251038961;8,807987013;7,41030303;3,29;2,644545455;14,99818182;3,98;3,99;4,557272727;6,361818182;4,266623377;31,45012987;8,927272727;9,048181818;6,269025974;2,364924242;13,68818182;5,562727273;2,883636364;1,42;1,186785714;0,364058442;2,91;5,895584416;5,779090909;14,71363636;3,63;2,373939394;1,405;12,29454545;7,394545455;3,59;3,34;4,223181818;1,713636364;6,702857143;5,464848485;13,50909091;14,06272727;12,4587013;11,39;4,279090909;9,889090909;3,941428571;3,99;2,559393939;2,69;1,803636364;4,796060606;5,10969697;7,050909091;5,906363636;6,42;5,042727273;5,263230776
01/2012;137,5953704;149,7778094;127,7232199;267,4073831;133,0602975;11,7225974;6,327272727;5,025454545;2,983636364;5,413333333;5,816363636;2,714155844;2,387575758;1,56012987;2,515;4,053896104;1,94;3,255;7,289090909;4,590909091;5,421558442;26,68;3,29;8,791212121;7,58;3,313636364;2,533333333;14,49454545;3,98;4,19;4,557272727;6,274545455;4,534155844;30,34;9,531558442;9,368181818;5,736558442;2,181266234;12,8661039;6,165324675;2,52012987;1,288181818;1,254772727;0,360378788;4,143636364;5,467012987;6,324545455;16,025;3,06;2,389090909;1,477272727;12,01090909;7,643636364;3,562727273;3,174848485;4,223181818;1,622727273;6,744318182;5,675454545;14,03;14,25666667;12,29454545;9,480909091;4,179090909;10,32545455;3,905844156;4,862727273;2,498787879;2,646666667;1,623766234;4,806883117;4,766666667;6,269090909;5,771212121;6,651818182;5,042727273;5,353976134
02/2012;137,0307534;149,0351564;129,0415668;257,5140468;128,1374331;12,148;7,130909091;6,689090909;3,39;4,930649351;3,317662338;2,737532468;2,461168831;1,662467532;2,102;4,071212121;2,39;3,494545455;7,61030303;4,575324675;5,151428571;25,68;3,251038961;8,489393939;6,97;3,28;2,423333333;13,79454545;5,3;4,49;4,566363636;6,691688312;4,398051948;29,67090909;9,615974026;9,143030303;6,546753247;2,207564935;12,91545455;6,195194805;2,644545455;1,341038961;1,238084416;0,514707792;4,087272727;5,789090909;5,27;14,825;2,96;2,470909091;1,704545455;12,42;7,649090909;3,474415584;3,338484848;4,256623377;1,85;6,785779221;5,750909091;14,21454545;13,92939394;12,46909091;7,430909091;4,285;10,76181818;3,9;3,99;2,736363636;2,655454545;1,788701299;4,551038961;5,248484848;6,287272727;5,699090909;7,697272727;5,042727273;5,444721492
03/2012;138,4841228;148,6185767;130,6660748;254,8157543;126,7947791;11,91363636;6,867636364;6,38;3,51;5,091363636;3,003636364;2,54;2,289090909;1,517272727;2,122727273;4,05;1,79;3,342727273;7,65;4,561818182;5,121818182;25,68;3,20375;8,314415584;6,98;3,630909091;2,717272727;13,32340909;5,88;4,29;4,752727273;6,430909091;4,457272727;29,61532468;9,880727273;9,325454545;6,70625;2,2509375;12,3825;6,214545455;2,875227273;1,476233766;1,460454545;0,444318182;4,096363636;6,448363636;5,320909091;14,25;2,96;2,599090909;1,693636364;12,04854545;7,437402597;3,659318182;2,678181818;4,217878788;2,39;6,82724026;5,772272727;15,0561039;14,46575758;13,04;6,977272727;4,234285714;11,19818182;3,938961039;5,260909091;2,649090909;2,534155844;1,709431818;4,804545455;5,255194805;6,272954545;5,781363636;10,54636364;5,185909091;5,53546685
04/2012;138,0529597;148,3621927;131,7838154;249,7259574;124,2621269;11,87147727;6,626363636;6,38;4,354090909;4,649090909;2,622597403;2,540568182;2,511558442;1,518863636;2,47;3,891558442;1,99;3,31;7,674545455;4,795227273;5,091168831;27,32;3,318181818;8,17461039;7,58;3,562727273;2,685454545;13,39527273;6,98;4,256666667;4,752727273;6,579090909;4,449204545;28,71590909;9,637142857;8,514805195;6,48987013;2,420596591;12,65863636;5,374545455;3,008181818;1,374155844;1,77375;0,492840909;4,034909091;6,625974026;6,606363636;15,02575758;3,189090909;2,716363636;1,682727273;12,30428571;7,713636364;3,547402597;4,108181818;4,183030303;1,859350649;6,868701299;5,585454545;14,46;14,54345455;13,58;7,192727273;4,581454545;11,63454545;3,852613636;3,99;2,679636364;3,019318182;1,755454545;4,842727273;4,825;6,587954545;5,934090909;7,660909091;5,004545455;5,626212209
05/2012;137,3562813;147,1023406;129,7639286;259,856765;129,3031556;12,07340909;6,615844156;5,941454545;3,933636364;4,898181818;4,065454545;2,24;2,306136364;1,496363636;2,166666667;3,95;1,79;3,348181818;7,590909091;4,885227273;5,137922078;27;3,315454545;8,120681818;7,86;3,494545455;2,670909091;13,67298701;6,33;3,99;4,752727273;6,602272727;4,5075;29,81636364;9,381363636;8,728863636;6,859090909;2,233538961;12,27272727;5,068545455;2,785324675;1,266623377;1,818409091;0,627272727;4,059220779;6,653818182;5,19;13,85;2,96;2,98;1,671818182;12,078;7,413636364;3,563766234;2,762727273;4,196363636;1,840649351;6,910162338;5,585454545;15,12409091;14,69318182;14,34337662;7,410909091;4,246493506;12,07090909;3,991558442;3,99;2,696;2,973636364;1,845454545;5,008701299;4,253636364;6,888636364;6,380909091;7,333636364;5,37;5,716957567
06/2012;140,0830485;150,4396331;132,0999823;266,5944975;132,6558105;11,96136364;7,634545455;7,848636364;5,179090909;4,498181818;6,082272727;2,671038961;2,336233766;1,480227273;2,431818182;4,2375;1,89;3,380909091;7,696363636;4,518181818;5,275909091;26,28;3,235714286;8,181363636;8,14;3,426363636;2,59;14,34886364;5,68;4,756666667;4,752727273;6,184545455;4,871818182;27,80077922;9,836818182;8,774848485;6,749545455;2,310454545;12,79207792;5,166727273;2,9025;1,279480519;2,328494318;0,612792208;4,079090909;6,358181818;5,22;12,42727273;3,523636364;2,955757576;1,49;12,25636364;7,334545455;3,615194805;2,49;4,223636364;1,837727273;6,951623377;5,586136364;16,17818182;14,94688312;14,45090909;7,03;4,225;12,50727273;3,991558442;4,75;2,534545455;2,626363636;1,847272727;5,032077922;4,980909091;6,888636364;6,591818182;7,17;5,510454545;5,807702925
07/2012;143,7475744;154,8496741;133,974696;284,4178504;141,5246032;12,31579545;7,643636364;8,070909091;3,097272727;4,376818182;10,19454545;2,562045455;2,399204545;1,476136364;2,012727273;4,113636364;1,89;3,365151515;8,050909091;4,45;5,284090909;28,68;3,439090909;8,066818182;8,42;3,358181818;2,685454545;14,35090909;5,03;5,556666667;4,38;6,004415584;4,771818182;28,77090909;9,276363636;9,499318182;6,663636364;2,112897727;11,57590909;5,833636364;3,047402597;1,341428571;2,692329545;0,566136364;4,024155844;6,626233766;5,22;13,99545455;3,523636364;2,903636364;1,735454545;12,78818182;7,522181818;3,788181818;2,678181818;4,274090909;1,840181818;6,993084416;5,597272727;15,70363636;15,24844156;14,54909091;6,825;4,452727273;12,94363636;4,06;4,757272727;2,711136364;2,648961039;1,7775;4,923333333;5,053896104;6,223636364;6,518064935;9,403636364;5,727272727;5,898448283
08/2012;143,8934116;157,0178941;133,6231449;292,4454004;145,5190636;12,5338961;7,452727273;8,798181818;5,186883117;4,09012987;11,47090909;2,603636364;2,468181818;1,516590909;2,171818182;4,185714286;1,89;3,232424242;8,5;4,566493506;5,349090909;23,88;3,243977273;8,195681818;8,7;3,29;2,589545455;14,72181818;4,38;4,39;4,31;5,409090909;4,787727273;30,49272727;10,33909091;9,912727273;6,995;2,218909091;14,38090909;5,5925;2,968909091;1,276909091;2,297670455;0,500284091;4,087272727;6,665974026;5,697272727;16,23181818;3,432727273;3,131363636;1,694545455;12,58363636;7,107636364;3,690779221;2,753636364;4,297272727;1,827272727;7,034545455;5,217954545;16,11318182;15,52409091;14,41454545;8,99;4,370909091;13,38;3,935227273;5,768181818;2,729545455;3,008181818;1,746363636;4,744545455;5,201948052;6,452727273;6,115909091;7,183636364;5,724545455;5,989193641
09/2012;148,5606385;163,0564375;137,7990858;286,8331155;142,7264245;14,45509091;7,670909091;10,59818182;6,788181818;4,209090909;6,143636364;2,970909091;2,447272727;1,729090909;2,080909091;4,106818182;1,89;3,474242424;8,516363636;4,563636364;5,301818182;27,48;3,151818182;8,272909091;7,78;3,382857143;2,656363636;15,21272727;4,18;4,94;5,49;6,088181818;4,862727273;32,12136364;11,08090909;10,76272727;6,995;2,159848485;15,53727273;6,504545455;2,938181818;1,388181818;2,96375;0,665681818;4,250909091;6,623181818;5,37;15,47272727;3,250909091;3,061818182;1,817272727;13,66090909;7,729090909;3,818727273;1,69;4,362727273;1,863090909;7,49;5,82;16,09090909;16,00436364;16,21454545;7,323333333;4,463636364;12,89571429;4,070227273;5,667272727;2,889090909;2,951818182;1,817272727;4,908939394;5,263818182;6,529090909;6,460909091;7,060909091;5,675454545;6,079939
10/2012;148,9465448;162,159975;131,4217201;271,0990593;134,8972533;15,81077922;7,589090909;10,35575758;6,315;3,85012987;3,92025974;3,29;2,485974026;1,653636364;2,34;3,866666667;2,476666667;3,335;8,165454545;4,811688312;5,561818182;27,6;3,464285714;8,688181818;7,527692308;3,475714286;2,710779221;13,95818182;4,06;4,79;4,762727273;5,925454545;4,944545455;31,01939394;10,99;11,42818182;8,995;2,650681818;14,89727273;6,221818182;3,101948052;1,376666667;2,847077922;0,53474026;4,269090909;6,930649351;5,37;14,26818182;3,341818182;3,536363636;1,65;13,22064935;8,246666667;4,064545455;2,152121212;4,298051948;1,853896104;7,49;5,927727273;12,43757576;15,74454545;22,03272727;7,44;4,856363636;12,41142857;4,274848485;3,99;2,898181818;3,027662338;1,753636364;5,073333333;5,177012987;7,613030303;6,839350649;6,933636364;5,915454545;6,170684358
11/2012;150,8728209;165,661948;138,9032022;273,3924826;136,0384468;15,94064935;7,43974026;11,38;5,836363636;4,355;5,216363636;3,695454545;2,640649351;1,678636364;2,054545455;4,107142857;2,917272727;3,486969697;9,951428571;4,881818182;5,63;22,68;3,584805195;9,828333333;7,275384615;3,568571429;2,95;14,92909091;3,94;5,395454545;4,762727273;5,634545455;4,980909091;29,61636364;10,99;11,755;9,2225;2,280681818;16,6687013;7,784545455;3,12012987;1,307402597;2,740681818;0,495227273;3,907272727;6,816363636;5,336363636;15,43484848;3,341818182;3,776363636;1,943333333;13,56090909;7,095151515;3,833181818;2,614242424;4,345454545;1,865584416;7,91;5,952727273;16,9761039;15,91;16,97558442;7,317272727;5,525454545;11,92714286;4,285454545;4,921818182;2,998181818;2,74974026;1,836666667;5,237727273;4,342857143;6,745454545;7,248441558;7,551818182;5,863636364;6,261429716
12/2012;149,3207821;163,6002337;137,8958911;276,0209599;137,3463613;15,82954545;7,398181818;8,425454545;7,022727273;4,072727273;6,310909091;4,271818182;2,639090909;1,746363636;2,090727273;4,181818182;2,89;3,339090909;8,028727273;4,734545455;5,589090909;23,73;3,830909091;9,908636364;7,023076923;3,661428571;2,945454545;14,35090909;3,82;4,99;4,844545455;6,303636364;5,151818182;28,78;10,66;11,30409091;9,022272727;2,439090909;17,80636364;8,105454545;3,312272727;1,246363636;2,457272727;0,583636364;4,369090909;6,86;5,325;14,62;3,189090909;3,490909091;1,842727273;12,696;8,136363636;3,971818182;3,076363636;4,276818182;1,876181818;8,33;6,064090909;17,1830303;15,83254545;16,09272727;7,638484848;4,950909091;11,44285714;4,255909091;4,79;2,867272727;3,081272727;2,056363636;5,402121212;5,022727273;7,442272727;7,147272727;7,183636364;5,817272727;6,352175074
01/2013;154,6562633;171,6015796;141,4513783;313,2627491;155,8776505;15,81077922;7,834545455;11,43454545;6,928441558;4,798181818;10,50272727;4,208181818;2,645090909;1,70038961;2,268181818;4,218831169;2,667777778;3,39;8,201818182;4,757142857;5,608571429;24,78;3,883506494;9,895;6,770769231;3,754285714;2,765909091;14,06727273;3,7;3,99;4,612727273;5,91030303;4,857272727;33,09818182;10,68393939;10,82054545;9,263181818;2,522954545;18,95181818;8,962207792;3,147272727;1,261515152;2,556704545;0,719772727;4,536363636;6,861558442;5,3475;15,66136364;2,96;3,332727273;1,796363636;13,89954545;8,434545455;4,120909091;3,026363636;4,306363636;1,885454545;8,75;5,984415584;17,26545455;16,30090909;15,84415584;7,95969697;4,944675325;10,95857143;4,255909091;4,79;2,898636364;3,170519481;2,123636364;5,566515152;5,208181818;7,285454545;7,381168831;6,692727273;5,920909091;6,442920432
02/2013;155,5317573;173,0952322;138,0659786;308,6208413;153,5678652;15,38623377;7,950909091;10,67090909;7,377272727;5,418181818;9,287272727;5,244659091;2,830681818;1,842272727;2,195454545;4,427272727;2,445555556;3,558831169;8,976590909;4,85959596;5,62040404;25,83;3,725844156;9,526818182;6,518461538;3,847142857;3,14;13,84909091;3,7;4,827272727;4,49;5,961818182;5,170681818;30,53324675;10,92636364;11,57136364;9,504090909;2,541363636;15,97831169;9,337045455;3,592840909;1,343896104;2,745909091;0,848295455;4,715636364;6,910909091;7,061454545;16,34285714;3,662272727;3,476103896;1,908181818;14,32227273;8,711818182;4,099090909;2,877272727;4,319090909;1,876666667;7,447272727;5,766545455;16,10493506;16,43922078;16,20571429;8,280909091;4,964545455;10,47428571;4,191636364;6,01;2,917922078;3,047272727;1,906931818;5,730909091;5,407636364;7,400909091;7,141136364;7,206363636;6,03;6,533665791
03/2013;158,5349652;175,8257391;134,3854762;322,802461;160,6245534;14,38181818;7,857272727;8,228484848;9,57;5,516363636;12,10649351;4,90987013;2,836493506;1,717792208;2,380909091;4,508441558;2,223333333;3,59;8,813636364;5,006363636;5,812727273;26,88;3,578571429;9,184772727;6,266153846;3,94;3,103636364;14,27142857;5,18;4,580909091;3,94;6,177922078;4,99;29,735;9,418181818;10,01454545;9,745;2,595113636;21,74727273;8,873116883;3,735;1,52;3,265;0,975;4,552727273;7,30961039;8,67;18,04090909;3,470909091;3,392363636;1,935454545;13,39363636;8,307272727;4,169220779;3,358181818;4,284545455;2,288909091;5,69;4,639090909;19,21090909;14,43745455;16,10025974;7,523333333;6,523636364;9,99;4,441636364;5,755;2,739090909;3,820909091;1,816181818;6,226363636;5,737272727;7,142727273;7,567922078;11,37;6,058636364;6,624411149
04/2013;159,243718;179,3382781;137,2343039;323,0782359;160,7617774;14,33805195;7,96961039;11,82727273;9,604545455;6,615584416;7,497727273;4,425757576;3,141919192;1,523766234;3,193030303;4,683333333;1,99;4,323333333;8,7875;5,077272727;5,907272727;32,28;3,941948052;9,456931818;6,013846154;3,967058824;2,847727273;14,15818182;5,046666667;4,583181818;4,99;5,81012987;4,753636364;30,14363636;10,82272727;9,977272727;10,51327273;2,904545455;18,44545455;7,441666667;3,730454545;1,324285714;3,117897727;1,090681818;5,072;7,53;6,87;19,97077922;3,926666667;3,725454545;1,808181818;13,19025974;8,23974026;3,97;4,617272727;4,353636364;2,022727273;8,17;5,745909091;14,40545455;16,75545455;14,30909091;8,75;4,907272727;10,1136;4,5;5,5;2,964;3,07;1,847575758;5,960454545;5,49;7,216363636;7,509191919;8,815454545;5,963181818;6,715156507
05/2013;159,3170555;174,4868693;140,8822691;317,5962364;158,0339675;15,00181818;8,346590909;10,36181818;11,165;6,689090909;8,270909091;4,562159091;3,096909091;1,538181818;3,105;4,443181818;1,89;3,49;8,903333333;5,010454545;5,721136364;31,815;3,92974026;9,972613636;5,761538462;3,994117647;3,02030303;12,19527273;4,913333333;4,585454545;5,58;5,352727273;4,97961039;30,05350649;11,272;11,08;11,28154545;2,775545455;16,78704545;6,955909091;3,696931818;1,354155844;2,864744318;0,869573864;4,978181818;7,146363636;5,52;16,23701299;3,136363636;3,819636364;1,89;13,50068182;7,874545455;4,002954545;4,544545455;4,172337662;2,472857143;8,62;5,955;16,86181818;15,63136364;14,03688312;9,8875;5,943636364;10,2372;6,145;5,245;2,943636364;3,23025974;1,806363636;5,508181818;5,862727273;7,063636364;7,627386364;11,54727273;5,443977273;6,805901865
